combo,workload,policy,per_gpu_rate,ttft_s_p90,tpot_s_p90,context_queue_s_median,bridge_queue_s_median,decode_queue_s_median,context_exec_s_median,decode_exec_s_median,phase_decode_handoff_debt_pressure_mean,phase_decode_rho_hard_mean,phase_decode_infeasible_rounds,phase_context_prefill_budget_ratio_mean,phase_decode_kas_intensity_mean
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,3.0,46.07329669278114,1.4573882641136913,10.884988903999329,11.95804250240326,0.7161107659339905,0.14520847797393793,3.549892544746399,,,,,
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,3.25,47.43794789239764,1.453846996203618,11.608946859836578,11.961296319961548,0.7010266184806824,0.145316481590271,3.5520017743110657,,,,,
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,3.5,48.656514106038955,1.4555793153195986,12.268213272094727,12.022059738636017,0.6905291080474854,0.14533758163452143,3.555115044116974,,,,,
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,3.75,49.55118570774793,1.4532370711417566,12.797787606716156,12.119735836982727,0.727177619934082,0.145093560218811,3.5494869351387024,,,,,
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,4.0,50.4618338051252,1.4556904848337404,13.271129846572876,12.189490735530853,0.7320461273193359,0.145348310470581,3.551590919494629,,,,,
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,4.25,51.303667175956065,1.4557111711668538,13.744190454483032,12.273889183998108,0.7533682584762573,0.1487292051315307,3.5532371401786804,,,,,
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,4.5,52.04907715963199,1.4604229933434076,14.061896443367004,12.391740620136261,0.744331955909729,0.1452975273132324,3.551877558231354,,,,,
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,4.75,52.67683243108913,1.46325449746724,14.398405969142914,12.425296068191528,0.7332708239555359,0.14718234539031977,3.5513192415237427,,,,,
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,5.0,53.240327327419074,1.4682755268513303,14.6628777384758,12.435109198093414,0.7260276079177856,0.14645999670028687,3.5530641674995422,,,,,
llama13b_sharegpt,LLaMA2-13B + ShareGPT,phase,0.25,0.20635117171332235,0.029637956113160897,0.00096547603607175,0.01066136360168455,0.00111371278762815,0.07886385917663569,3.5229639410972595,0.0017770122553821999,0.0,0.0,0.9951686859130859,0.000341488324304432
